Date,Open,High,Low,Close,Adj Close,Volume
2/13/96,10.5,11.25,10.5,10.75,10.75,35700
2/14/96,11.25,11.75,10.5,10.5,10.5,58100
2/15/96,10.5,11.5,10,11.5,11.5,45000
2/16/96,11.5,11.5,10.25,11.5,11.5,38400
2/20/96,11,11.5,10.25,10.5,10.5,30600
2/21/96,11.5,11.75,10,11.75,11.75,36600
2/22/96,11.75,11.75,10.25,11.75,11.75,42200
2/23/96,10.25,11.75,10.25,10.4375,10.4375,41800
2/26/96,11,11.75,10.25,11.5,11.5,70600
2/27/96,11.5,11.75,10.25,11.125,11.125,23000
2/28/96,10.5,11.75,10.25,10.25,10.25,32400
2/29/96,10.25,11.75,10,10,10,63900
3/1/96,11.25,11.25,10,11.25,11.25,29700
3/4/96,11.25,11.75,10,11.5,11.5,31800
3/5/96,11.625,11.75,10.25,11.25,11.25,23000
3/6/96,11.75,11.75,10.25,10.25,10.25,12600
3/7/96,10.25,11.75,10.25,10.375,10.375,22600
3/8/96,11.75,11.75,10.25,10.25,10.25,12100
3/11/96,11.75,11.75,10.25,11.5,11.5,7000
3/12/96,11,11.75,10.5,10.5,10.5,11700
3/13/96,11.75,11.75,10.25,10.25,10.25,36300
3/14/96,11.75,11.75,10.25,11.75,11.75,52200
3/15/96,11.75,11.75,10.5,11.75,11.75,30700
3/18/96,10.75,12,10.75,11.75,11.75,151900
3/19/96,12,12,10.75,10.75,10.75,80100
3/20/96,10.5,11.5,10.5,11.5,11.5,44700
3/21/96,11.5,11.5,10.5,10.5,10.5,14400
3/22/96,11.5,11.5,10.5,11,11,33700
3/25/96,11.375,11.5,10.5,10.5,10.5,29000
3/26/96,11.5,11.5,10.5,10.5,10.5,83400
3/27/96,10.5,11.5,10.5,10.5,10.5,10100
3/28/96,10.5,11.5,10.5,11.5,11.5,66500
3/29/96,11.5,11.5,10.5,10.5,10.5,18800
4/1/96,11.375,11.375,10.5,11.375,11.375,14300
4/2/96,11.375,11.5,10.5,11.375,11.375,29100
4/3/96,11.375,11.375,10.5,10.5,10.5,30100
4/4/96,11,11.5,8.40625,11.375,11.375,260300
4/8/96,11.375,11.375,11,11.375,11.375,24100
4/9/96,11,12.5,10.25,12.5,12.5,66900
4/10/96,12.5,12.5,11,12.5,12.5,71500
4/11/96,11.5,12.75,11.5,12,12,63300
4/12/96,12,13,11.875,12.5,12.5,58900
4/15/96,12,13.5,12,12,12,46700
4/16/96,13.25,13.5,11,11.75,11.75,152000
4/17/96,11.5,12.5,11.5,11.75,11.75,35400
4/18/96,11.5,12.25,11.25,11.5,11.5,67700
4/19/96,11.75,12,11.25,11.25,11.25,20300
4/22/96,12,12,11.25,11.25,11.25,23100
4/23/96,12,12,11.25,12,12,54500
4/24/96,11.25,12.5,11.25,12,12,96000
4/25/96,12,12.5,11.25,11.5,11.5,103000
4/26/96,11.5,12.25,11.5,12,12,17200
4/29/96,11.5,12.25,11.5,11.5,11.5,19000
4/30/96,11.5,12.25,11.5,12.25,12.25,9200
5/1/96,12.25,12.25,11.5,11.5625,11.5625,24400
5/2/96,11.5,12,11.5,11.5,11.5,27700
5/3/96,11.75,12,11.5,11.5,11.5,21400
5/6/96,11.5,12,11.5,12,12,18500
5/7/96,12,12,11.5,11.5,11.5,17500
5/8/96,11.5,12,11.5,11.5,11.5,23000
5/9/96,12,12,11.5,11.5,11.5,67500
5/10/96,11.5,12,10.5,11.25,11.25,85900
5/13/96,11.5,11.5,10.5,11.25,11.25,53700
5/14/96,10.5,11,9,9.15625,9.15625,34700
5/15/96,9.75,9.75,9,9.75,9.75,16800
5/16/96,9.875,9.875,9,9,9,20700
5/17/96,9.75,9.75,9,9,9,19200
5/20/96,9,9.75,9,9.75,9.75,78900
5/21/96,9,9.875,9,9,9,58200
5/22/96,9.125,9.875,9,9,9,80700
5/23/96,9.5,10,9,10,10,35900
5/24/96,9,10,9,9,9,11900
5/28/96,9,10,9,9,9,47900
5/29/96,9,9.75,9,9,9,7800
5/30/96,9.75,10,9,10,10,22100
5/31/96,9,10,9,9.75,9.75,18300
6/3/96,10,10.25,9.1875,9.25,9.25,20900
6/4/96,9.25,10.125,9.25,10.125,10.125,21800
6/5/96,9.75,10.25,9.5,10.125,10.125,16000
6/6/96,9.5,10.125,9.5,10.125,10.125,74600
6/7/96,9.75,11,9.75,10.125,10.125,41000
6/10/96,10.75,10.75,9.75,10.25,10.25,6500
6/11/96,10,10.25,9.75,10.25,10.25,17200
6/12/96,10.25,10.25,9.75,9.75,9.75,11600
6/13/96,10.25,10.75,9.75,10.25,10.25,16800
6/14/96,10.25,10.75,10.25,10.25,10.25,16800
6/17/96,10.25,10.75,9.75,9.75,9.75,19900
6/18/96,9.75,11.25,9.75,11.25,11.25,49600
6/19/96,10.75,11,9.75,9.75,9.75,47100
6/20/96,9.5,10.5,9.5,9.5,9.5,3600
6/21/96,9.5,10.25,9.5,9.5,9.5,21800
6/24/96,10.25,10.25,9.5,9.5,9.5,55400
6/25/96,10,10.25,9.5,9.5,9.5,68700
6/26/96,9.5,10.25,9.5,9.5,9.5,13800
6/27/96,9.5,10.25,9.5,9.5,9.5,1000
6/28/96,9.5,10.25,9.5,10.25,10.25,6900
7/1/96,9.5,10.25,9.5,10.25,10.25,5000
7/2/96,10.25,10.25,9.25,9.5,9.5,46900
7/3/96,9.5,10.25,9.5,9.5,9.5,28500
7/5/96,10,10,9.5,9.5,9.5,10200
7/8/96,9.5,10.25,9.25,9.25,9.25,8400
7/9/96,9,9.75,8,9.75,9.75,503200
7/10/96,9,10,9,9.5,9.5,20700
7/11/96,9.5,13,9,12,12,175400
7/12/96,12.5,13.5,10.75,12,12,126200
7/15/96,11.625,12.375,10.5,11.5,11.5,30900
7/16/96,11.75,11.75,9,9.875,9.875,27100
7/17/96,9.75,10,9,9.75,9.75,11900
7/18/96,10,10,8,8,8,24600
7/19/96,8,9,8,8,8,21200
7/22/96,9,9,8,8,8,13900
7/23/96,8.75,8.75,8,8,8,29500
7/24/96,8.5,8.75,8,8,8,11300
7/25/96,8.75,8.75,8,8.125,8.125,43800
7/26/96,8,8.75,8,8.75,8.75,93600
7/29/96,8,8.75,8,8.75,8.75,12200
7/30/96,8.75,8.75,7.5,8,8,11700
7/31/96,7.25,8.25,7.25,7.75,7.75,14100
8/1/96,7.75,7.75,7.25,7.75,7.75,15600
8/2/96,7.75,7.75,6.5,6.75,6.75,42600
8/5/96,7.75,7.75,6.5,6.5,6.5,15800
8/6/96,7.75,7.75,6.5,6.875,6.875,6300
8/7/96,7.5,7.75,6.5,7.75,7.75,62200
8/8/96,6.5,7.5,6.5,6.5,6.5,81200
8/9/96,7,7.5,6.5,7.5,7.5,56400
8/12/96,7.25,7.25,6,6,6,26800
8/13/96,6.75,7,6,6,6,26200
8/14/96,6,6.5,6,6.5,6.5,13600
8/15/96,6.5,6.5,6,6,6,29000
8/16/96,6,6.5,6,6,6,7400
8/19/96,6,6.5,6,6,6,13600
8/20/96,6,6.5,6,6,6,8500
8/21/96,6,6.5,6,6.25,6.25,6400
8/22/96,6,6.5,6,6,6,25100
8/23/96,6,6.5,6,6.5,6.5,7000
8/26/96,6.5,6.5,5.75,5.75,5.75,27900
8/27/96,6,6.5,6,6,6,32400
8/28/96,6.5,6.5,6,6,6,14700
8/29/96,6.25,6.75,6,6.75,6.75,25000
8/30/96,6.75,8,6.75,8,8,14800
9/3/96,8,8,8,8,8,0
9/4/96,8,8,7,7,7,11000
9/5/96,7,8,7,8,8,13200
9/6/96,8,8,6.75,6.75,6.75,23100
9/9/96,6.75,8,6.75,8,8,7100
9/10/96,8,8,6.75,8,8,14800
9/11/96,8,8,6.75,6.75,6.75,13100
9/12/96,8,8,6.75,6.75,6.75,22600
9/13/96,6.75,7.75,6.75,6.75,6.75,5600
9/16/96,6.875,7.5,5.5,5.5,5.5,29500
9/17/96,6.5,6.5,5.25,5.25,5.25,6600
9/18/96,5.25,6.25,5.25,5.875,5.875,40000
9/19/96,5.25,6.75,5.25,5.25,5.25,55600
9/20/96,6.75,6.75,5.5,6.25,6.25,29500
9/23/96,5.5,6.25,5.25,5.25,5.25,17200
9/24/96,6.25,6.25,4.25,4.5,4.5,24700
9/25/96,5.5,5.5,4.5,4.5,4.5,16500
9/26/96,4.75,5.5,4.5,4.5,4.5,8500
9/27/96,4.5,5.25,4.5,4.5,4.5,7600
9/30/96,4.5,5,4.5,4.5,4.5,14400
10/1/96,5.25,5.25,3.9375,4.125,4.125,42500
10/2/96,4.75,4.75,3.75,3.75,3.75,31300
10/3/96,4.625,4.625,4,4.25,4.25,7400
10/4/96,4.5,4.5,3.75,4.5,4.5,18000
10/7/96,4,4.5,3.75,3.75,3.75,11300
10/8/96,3.75,4.5,3,3.25,3.25,44200
10/9/96,3.25,3.5,3.25,3.5,3.5,4700
10/10/96,3,3.5,2.75,2.75,2.75,14400
10/11/96,2.75,3.5,2.75,3.5,3.5,10600
10/14/96,2.75,3.5,2.5,3,3,25100
10/15/96,2.75,3,2.5,2.75,2.75,15300
10/16/96,2.75,2.75,2,2.5,2.5,33200
10/17/96,2.5,3,2.3125,2.3125,2.3125,12600
10/18/96,3,3,2.5,3,3,9300
10/21/96,2.5,3.25,2.5,2.5,2.5,5400
10/22/96,2.5,3.25,2.5,2.625,2.625,42000
10/23/96,3,3.25,2.625,2.625,2.625,25600
10/24/96,2.625,3.25,2.625,3,3,125500
10/25/96,3.25,3.5,2.75,3.5,3.5,15700
10/28/96,3.5,3.5,3.125,3.5,3.5,10200
10/29/96,3.125,3.5,3.125,3.5,3.5,9900
10/30/96,3.125,3.125,2.375,2.375,2.375,21400
10/31/96,2.5,2.75,2.375,2.5,2.5,2100
11/1/96,2.75,2.75,2.375,2.375,2.375,28000
11/4/96,2.75,2.75,2.25,2.25,2.25,15500
11/5/96,2.125,2.625,2,2,2,21900
11/6/96,2.0625,2.75,2.0625,2.75,2.75,37700
11/7/96,2.75,2.75,2.25,2.25,2.25,14800
11/8/96,2.25,2.75,2.25,2.5,2.5,3800
11/11/96,2.25,3,2,2,2,38900
11/12/96,2.5,2.5,1.25,1.625,1.625,90000
11/13/96,1.875,2.125,1.5,1.625,1.625,40700
11/14/96,1.75,2.125,1.625,2.125,2.125,28300
11/15/96,1.875,2.25,1.875,2,2,4900
11/18/96,2,2.125,1.75,1.75,1.75,26200
11/19/96,1.75,2.125,1.625,2.125,2.125,21600
11/20/96,1.625,2.125,1.625,1.75,1.75,7900
11/21/96,2,2.125,1.875,1.875,1.875,37100
11/22/96,1.625,2.125,1.625,1.625,1.625,23000
11/25/96,1.625,2.125,1.625,1.75,1.75,50900
11/26/96,1.75,2.125,1.625,1.625,1.625,20200
11/27/96,2.125,2.125,1.375,2,2,12500
11/29/96,1.625,1.625,1.625,1.625,1.625,13400
12/2/96,1.375,2,1.25,1.4375,1.4375,16600
12/3/96,1.375,1.8125,1.3125,1.3125,1.3125,10000
12/4/96,1.375,2.0625,1.375,1.375,1.375,12300
12/5/96,1.25,1.75,1.125,1.125,1.125,27700
12/6/96,1.0625,1.5,1.0625,1.25,1.25,16600
12/9/96,1.0625,1.5,1.0625,1.125,1.125,15500
12/10/96,1.0625,1.375,1.0625,1.125,1.125,36000
12/11/96,1.3125,1.3125,1.0625,1.0625,1.0625,29000
12/12/96,1.125,1.3125,1.0625,1.0625,1.0625,13500
12/13/96,1.0625,1.3125,1,1,1,30000
12/16/96,1,1.25,1,1,1,46800
12/17/96,1.125,1.25,0.9375,0.9375,0.9375,42000
12/18/96,0.9375,1,0.9375,0.9375,0.9375,13100
12/19/96,0.9375,1.25,0.875,1,1,42500
12/20/96,0.9375,1.1875,0.9375,0.9375,0.9375,21200
12/23/96,1.0625,1.5,1.0625,1.125,1.125,56600
12/24/96,1.0625,1.3125,1,1.0625,1.0625,20900
12/26/96,1.0625,1.25,1,1,1,45600
12/27/96,1,1.25,1,1.25,1.25,23000
12/30/96,1.25,1.25,0.9375,1,1,113800
12/31/96,1,1.25,1,1.0625,1.0625,119800
1/2/97,1.0625,1.3125,1.0625,1.3125,1.3125,600
1/3/97,1.0625,1.3125,1.0625,1.125,1.125,35600
1/6/97,1.125,1.3125,1.125,1.125,1.125,5900
1/7/97,1.3125,1.3125,1.125,1.1875,1.1875,8100
1/8/97,1.3125,1.3125,1.03125,1.125,1.125,40300
1/9/97,1.25,1.25,1.25,1.25,1.25,1600
1/10/97,1.0625,1.25,1.0625,1.25,1.25,15800
1/13/97,1.25,1.3125,1.125,1.125,1.125,31900
1/14/97,1.0625,1.3125,0.875,1.1875,1.1875,28400
1/15/97,1.125,1.125,0.75,0.75,0.75,38000
1/16/97,0.875,0.9375,0.625,0.9375,0.9375,108300
1/17/97,0.875,1.1875,0.875,0.9375,0.9375,60200
1/20/97,1.1875,1.3125,0.875,1.3125,1.3125,29000
1/21/97,1.3125,1.5,1,1.5,1.5,23700
1/22/97,1.25,1.5,1.125,1.125,1.125,28000
1/23/97,1.125,1.5,1.125,1.5,1.5,7900
1/24/97,1.25,1.5,1.25,1.25,1.25,7400
1/27/97,1.25,1.375,1.125,1.125,1.125,66100
1/28/97,1,1.125,0.9375,0.9375,0.9375,49000
1/29/97,1,1.1875,1,1.125,1.125,36600
1/30/97,1.0625,1.125,1.0625,1.125,1.125,11700
1/31/97,1,1.25,0.75,1.1875,1.1875,211300
2/3/97,1.375,1.375,1,1,1,28600
2/4/97,1.03125,1.25,1,1,1,13000
2/5/97,1.25,1.25,1,1,1,1700
2/6/97,1,1,1,1,1,6600
2/7/97,1.25,1.25,1,1.25,1.25,5500
2/10/97,1.25,1.25,1,1,1,15000
2/11/97,1.125,1.125,0.9375,1,1,20100
2/12/97,1,1.0625,1,1,1,9500
2/13/97,1,1.0625,1,1.0625,1.0625,23600
2/14/97,1.0625,1.0625,1.0625,1.0625,1.0625,2400
2/18/97,1.1875,1.1875,1.0625,1.125,1.125,11800
2/19/97,1.0625,1.0625,1.0625,1.0625,1.0625,4500
2/20/97,1.1875,1.1875,1.0625,1.0625,1.0625,13800
2/21/97,1.0625,1.1875,1.0625,1.1875,1.1875,30400
2/24/97,1.125,1.1875,1.0625,1.125,1.125,32400
2/25/97,1.1875,1.1875,1.125,1.125,1.125,21400
2/26/97,1.4375,1.4375,1.125,1.4375,1.4375,29000
2/27/97,1.15625,1.15625,1.15625,1.15625,1.15625,20000
2/28/97,1.1875,1.1875,1.1875,1.1875,1.1875,3200
3/3/97,1.1875,1.1875,1.1875,1.1875,1.1875,0
3/4/97,1.09375,1.125,1.09375,1.125,1.125,8400
3/5/97,1.125,1.125,1.125,1.125,1.125,0
3/6/97,1.0625,1.0625,1.0625,1.0625,1.0625,22600
3/7/97,1.0625,1.1875,1.0625,1.125,1.125,14000
3/10/97,1.0625,1.25,1.0625,1.0625,1.0625,16500
3/11/97,1.0625,1.1875,1.0625,1.0625,1.0625,19200
3/12/97,1.0625,1.125,1,1.0625,1.0625,41600
3/13/97,1.125,1.375,1.0625,1.375,1.375,30400
3/14/97,1.375,1.5625,1.125,1.25,1.25,57300
3/17/97,1.5625,1.5625,1.25,1.25,1.25,66500
3/18/97,1.25,1.4375,1.25,1.25,1.25,21000
3/19/97,1.25,1.25,1.25,1.25,1.25,16200
3/20/97,1.4375,1.4375,1.1875,1.1875,1.1875,10700
3/21/97,1.1875,1.4375,1.1875,1.4375,1.4375,11500
3/24/97,1.1875,1.1875,1.1875,1.1875,1.1875,8700
3/25/97,1.1875,1.375,1.1875,1.3125,1.3125,63500
3/26/97,1.25,1.4375,1.25,1.25,1.25,7200
3/27/97,1.4375,1.4375,1.25,1.375,1.375,6300
3/31/97,1.25,1.5,1.25,1.46875,1.46875,99500
4/1/97,1.5,1.625,1.4375,1.5625,1.5625,115900
4/2/97,1.5,1.625,1.5,1.5625,1.5625,36400
4/3/97,1.6875,1.6875,1.5625,1.625,1.625,86600
4/4/97,1.65625,1.6875,1.625,1.65625,1.65625,35200
4/7/97,1.625,1.6875,1.5625,1.6875,1.6875,37000
4/8/97,1.5,1.6875,1.5,1.5,1.5,17300
4/9/97,1.5,1.75,1.4375,1.65625,1.65625,35300
4/10/97,1.5,1.5,1.5,1.5,1.5,9100
4/11/97,1.5,1.6875,1.5,1.5,1.5,48000
4/14/97,1.5,1.6875,1.5,1.5,1.5,4000
4/15/97,1.5,1.5,1.5,1.5,1.5,7600
4/16/97,1.5,1.5,1.5,1.5,1.5,17000
4/17/97,1.5,1.8125,1.5,1.71875,1.71875,155300
4/18/97,1.875,1.875,1.75,1.75,1.75,112500
4/21/97,1.8125,1.8125,1.6875,1.6875,1.6875,36400
4/22/97,1.8125,1.8125,1.5625,1.5625,1.5625,23300
4/23/97,1.75,1.75,1.5625,1.5625,1.5625,6100
4/24/97,1.5625,1.75,1.5625,1.75,1.75,29000
4/25/97,1.75,1.8125,1.5625,1.75,1.75,25900
4/28/97,1.75,1.75,1.375,1.625,1.625,88400
4/29/97,1.625,1.625,1.4375,1.625,1.625,51000
4/30/97,1.625,1.625,1.4375,1.625,1.625,120000
5/1/97,1.625,1.625,1.5,1.625,1.625,68100
5/2/97,1.625,1.625,1.5,1.625,1.625,15800
5/5/97,1.5,1.5625,1.4375,1.5,1.5,27400
5/6/97,1.25,1.25,1.25,1.25,1.25,52700
5/7/97,1.5,1.5,1.25,1.4375,1.4375,68000
5/8/97,1.25,1.625,1.25,1.5,1.5,154200
5/9/97,1.4375,1.625,1.34375,1.34375,1.34375,89500
5/12/97,1.625,1.625,1.4375,1.625,1.625,13400
5/13/97,1.4375,1.625,1.4375,1.625,1.625,114400
5/14/97,1.5,1.625,1.4375,1.4375,1.4375,21600
5/15/97,1.5625,1.5625,1.375,1.375,1.375,23300
5/16/97,1.5625,1.625,1.5,1.5,1.5,75700
5/19/97,1.625,1.625,1.5,1.625,1.625,51300
5/20/97,1.625,1.625,1.5,1.5625,1.5625,26500
5/21/97,1.5,1.625,1.4375,1.5625,1.5625,97500
5/22/97,1.625,1.625,1.5,1.625,1.625,73000
5/23/97,1.625,1.625,1.4375,1.5625,1.5625,42300
5/27/97,1.4375,1.5625,1.3125,1.4375,1.4375,38600
5/28/97,1.5625,1.625,1.4375,1.5,1.5,78700
5/29/97,1.5625,1.5625,1.375,1.5,1.5,41700
5/30/97,1.5625,1.5625,1.375,1.4375,1.4375,40000
6/2/97,1.5625,1.625,1.5,1.625,1.625,44900
6/3/97,1.625,1.75,1.5,1.6875,1.6875,121300
6/4/97,1.75,1.75,1.625,1.75,1.75,11400
6/5/97,1.75,1.8125,1.6875,1.8125,1.8125,207000
6/6/97,1.8125,1.875,1.75,1.8125,1.8125,118500
6/9/97,1.8125,1.9375,1.8125,1.875,1.875,161900
6/10/97,1.9375,2,1.875,1.875,1.875,257500
6/11/97,1.9375,2,1.875,2,2,46500
6/12/97,2,2,1.59375,1.9375,1.9375,249500
6/13/97,2,2,1.875,1.9375,1.9375,29600
6/16/97,1.9375,2,1.875,2,2,88700
6/17/97,2,2.0625,1.875,2,2,116900
6/18/97,1.875,2,1.875,1.875,1.875,40500
6/19/97,2,2,1.625,1.875,1.875,91200
6/20/97,1.875,1.875,1.625,1.6875,1.6875,43400
6/23/97,1.875,1.875,1.5,1.8125,1.8125,22600
6/24/97,1.875,1.875,1.6875,1.8125,1.8125,43200
6/25/97,1.875,1.9375,1.8125,1.9375,1.9375,36900
6/26/97,1.9375,2,1.875,2,2,104000
6/27/97,2.125,2.125,2,2,2,31000
6/30/97,2,2.0625,1.75,1.75,1.75,136500
7/1/97,1.75,1.75,1.75,1.75,1.75,5800
7/2/97,1.9375,2,1.75,1.875,1.875,30400
7/3/97,2.0625,2.125,2.0625,2.0625,2.0625,6700
7/7/97,1.875,2.125,1.8125,1.8125,1.8125,24200
7/8/97,2,2,1.5,1.75,1.75,67000
7/9/97,1.5,1.875,1.4375,1.625,1.625,51100
7/10/97,1.8125,2,1.6875,1.9375,1.9375,22800
7/11/97,1.75,2,1.625,1.90625,1.90625,64000
7/14/97,1.875,1.9375,1.625,1.625,1.625,23900
7/15/97,1.625,1.625,1.625,1.625,1.625,3800
7/16/97,1.625,1.625,1.4375,1.5625,1.5625,32800
7/17/97,1.5625,1.625,1.375,1.375,1.375,33200
7/18/97,1.75,1.9375,1.6875,1.75,1.75,101700
7/21/97,1.6875,1.875,1.625,1.875,1.875,17400
7/22/97,1.875,1.9375,1.6875,1.6875,1.6875,110400
7/23/97,1.6875,1.875,1.5,1.6875,1.6875,143200
7/24/97,1.5,1.6875,1.5,1.5,1.5,23700
7/25/97,1.5,1.625,1.5,1.625,1.625,600
7/28/97,1.5,1.625,1.5,1.5,1.5,14400
7/29/97,1.5,1.5625,1.25,1.3125,1.3125,27100
7/30/97,1.25,1.5,1.25,1.375,1.375,15100
7/31/97,1.5,1.5625,1.375,1.375,1.375,69800
8/1/97,1.5,1.75,1.375,1.5,1.5,63500
8/4/97,1.5,1.625,1.5,1.5,1.5,9100
8/5/97,1.5,1.625,1.3125,1.625,1.625,11900
8/6/97,1.3125,1.625,1.125,1.375,1.375,51400
8/7/97,1.4375,1.625,1.375,1.625,1.625,64200
8/8/97,1.625,1.625,1.5625,1.625,1.625,2500
8/11/97,1.6875,1.75,1.6875,1.6875,1.6875,9800
8/12/97,1.6875,1.6875,1.53125,1.625,1.625,23300
8/13/97,1.75,1.75,1.5,1.625,1.625,12500
8/14/97,1.5,1.5,1.4375,1.4375,1.4375,16800
8/15/97,1.4375,1.5625,1.375,1.4375,1.4375,25600
8/18/97,1.4375,1.5,1.4375,1.4375,1.4375,41500
8/19/97,1.5,1.5,1.375,1.375,1.375,13000
8/20/97,1.5,1.5625,1.375,1.5,1.5,74800
8/21/97,1.5625,1.625,1.3125,1.375,1.375,30900
8/22/97,1.5,1.5,1.3125,1.4375,1.4375,29300
8/25/97,1.3125,1.3125,1.25,1.25,1.25,8300
8/26/97,1.375,1.5,1.3125,1.3125,1.3125,66900
8/27/97,1.4375,1.5,1.3125,1.3125,1.3125,35100
8/28/97,1.3125,1.375,1.3125,1.375,1.375,5300
8/29/97,1.3125,1.375,1.3125,1.3125,1.3125,700
9/2/97,1.3125,1.375,1.3125,1.375,1.375,200
9/3/97,1.3125,1.3125,1.28125,1.3125,1.3125,10100
9/4/97,1.3125,1.375,1.25,1.25,1.25,31600
9/5/97,1.25,1.3125,1.1875,1.3125,1.3125,13600
9/8/97,1.3125,1.3125,1.125,1.125,1.125,11300
9/9/97,1.125,1.25,1.125,1.25,1.25,11000
9/10/97,1.3125,1.3125,1.125,1.25,1.25,4500
9/11/97,1.125,1.1875,1.125,1.125,1.125,27100
9/12/97,1.1875,1.25,1.1875,1.25,1.25,7000
9/15/97,1.1875,1.1875,1.0625,1.125,1.125,32400
9/16/97,1.25,1.25,1.125,1.25,1.25,32400
9/17/97,1.375,1.375,1.1875,1.375,1.375,43100
9/18/97,1.1875,1.4375,1.1875,1.25,1.25,47600
9/19/97,1.375,1.5,1.28125,1.4375,1.4375,26000
9/22/97,1.5,1.6875,1.5,1.625,1.625,122600
9/23/97,1.5625,1.75,1.5625,1.625,1.625,92900
9/24/97,1.5625,1.6875,1.5625,1.5625,1.5625,43000
9/25/97,1.6875,1.6875,1.5625,1.5625,1.5625,40800
9/26/97,1.625,1.625,1.3125,1.5,1.5,16200
9/29/97,1.5,1.625,1.46875,1.5,1.5,6100
9/30/97,1.5,1.625,1.5,1.5,1.5,32000
10/1/97,1.5,1.6875,1.5,1.5625,1.5625,18400
10/2/97,1.625,1.75,1.625,1.625,1.625,106900
10/3/97,1.6875,1.75,1.6875,1.75,1.75,4200
10/6/97,1.75,1.9375,1.75,1.8125,1.8125,98500
10/7/97,1.875,2,1.8125,1.96875,1.96875,67200
10/8/97,1.875,2.25,1.875,2.0625,2.0625,291200
10/9/97,2.125,2.3125,2.0625,2.1875,2.1875,71200
10/10/97,2.125,2.3125,2.125,2.1875,2.1875,79800
10/13/97,2.25,2.375,2.125,2.125,2.125,68700
10/14/97,2.25,2.5625,2.125,2.5625,2.5625,124300
10/15/97,2.5625,2.6875,2.3125,2.5,2.5,80800
10/16/97,2.5,2.5625,2.25,2.25,2.25,34800
10/17/97,2.4375,2.5625,2.25,2.4375,2.4375,76300
